;rank;rank_score;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
0;1.0;50.0;Mary J. Blige;Beyonce;Alicia Keys;Beyonce;Eminem;Lil Wayne;Drake;Justin Timberlake;Beyonce;Drake;Drake;Drake;Drake
1;2.0;49.0;T.I.;Robin Thicke;Lil Wayne;Jamie Foxx;Drake;Nicki Minaj;Rihanna;Macklemore & Ryan Lewis;Pharrell Williams;The Weeknd;Beyonce;Kendrick Lamar;Post Malone
2;3.0;48.0;Jamie Foxx;JAY-Z;Keyshia Cole;Keyshia Cole;Alicia Keys;Rihanna;Nicki Minaj;Drake;Eminem;Fetty Wap;Rihanna;Bruno Mars;Cardi B
3;4.0;47.0;Ne-Yo;Ciara;Mary J. Blige;Maxwell;Usher;Chris Brown;Lil Wayne;Rihanna;Iggy Azalea;Nicki Minaj;The Weeknd;The Weeknd;XXXTENTACION
4;5.0;46.0;Chris Brown;Musiq Soulchild;Chris Brown;Kanye West;The Black Eyed Peas;Kanye West;Chris Brown;JAY-Z;John Legend;J. Cole;Future;Future;Migos
5;6.0;45.0;Mariah Carey;Akon;T.I.;Ne-Yo;Trey Songz;Eminem;Beyonce;Robin Thicke;Drake;Future;Desiigner;Migos;Travis Scott
6;7.0;44.0;Beyonce;T.I.;The-Dream;T.I.;Sade;Wiz Khalifa;Tyga;Kendrick Lamar;Justin Timberlake;Wiz Khalifa;Bryson Tiller;Lil Uzi Vert;Eminem
7;8.0;43.0;Lil Wayne;Ne-Yo;Usher;JAY-Z;Lil Wayne;Drake;Usher;Eminem;Chris Brown;Kendrick Lamar;Kevin Gates;Post Malone;Juice WRLD
8;9.0;42.0;Keyshia Cole;T-Pain;Ne-Yo;The-Dream;Rihanna;Beyonce;2 Chainz;Lil Wayne;Jason Derulo;Silento;Fetty Wap;DJ Khaled;Kendrick Lamar
9;10.0;41.0;Yung Joc;Mary J. Blige;Plies;Drake;Michael Jackson;Trey Songz;Kanye West;2 Chainz;Nicki Minaj;Meek Mill;Chris Brown;Khalid;Bruno Mars
10;11.0;40.0;Ludacris;Fantasia;J. Holiday;Keri Hilson;Mary J. Blige;Usher;Trey Songz;Alicia Keys;Trey Songz;Big Sean;G-Eazy;J. Cole;The Weeknd
11;12.0;39.0;Dem Franchize Boyz;Young Jeezy;T-Pain;Musiq Soulchild;Ludacris;Pitbull;Wiz Khalifa;J. Cole;ScHoolboy Q;Rae Sremmurd;Kanye West;Kodak Black;J. Cole
12;13.0;38.0;Lyfe Jennings;Kanye West;Mariah Carey;Lil Wayne;Monica;Cee Lo Green;Rick Ross;Miguel;Wiz Khalifa;Beyonce;Tory Lanez;Rihanna;Nicki Minaj
13;14.0;37.0;Anthony Hamilton;Justin Timberlake;Jaheim;T-Pain;Gucci Mane;Miguel;Young Jeezy;A$AP Rocky;JAY-Z;Chris Brown;Kendrick Lamar;Big Sean;6ix9ine
14;15.0;36.0;Busta Rhymes;R. Kelly;Rick Ross;Anthony Hamilton;Young Money;Lupe Fiasco;JAY-Z;T.I.;YG;Rihanna;DJ Khaled;21 Savage;Lil Baby
15;16.0;35.0;Heather Headley;Lloyd;Trey Songz;Jennifer Hudson;JAY-Z;JAY-Z;Mary J. Blige;Future;Michael Jackson;Trey Songz;Travis Scott;Travis Scott;Khalid
16;17.0;34.0;LeToya;Chris Brown;Raheem DeVaughn;Jazmine Sullivan;Rick Ross;Michael Jackson;J. Cole;Chris Brown;Kid Ink;Dr. Dre;Jeremih;Gucci Mane;Lil Wayne
17;18.0;33.0;Sean Paul;Tank;Mario;Trey Songz;Robin Thicke;R. Kelly;Big Sean;Kanye West;Jhene Aiko;Iggy Azalea;Logic;Rae Sremmurd;YoungBoy Never Broke Again
18;19.0;32.0;Kirk Franklin;Keyshia Cole;Young Jeezy;Plies;Jaheim;Bad Meets Evil;Pitbull;Nicki Minaj;Justin Bieber;Omarion;Frank Ocean;Logic;Ella Mai
19;20.0;31.0;Chamillionaire;50 Cent;Rihanna;Charlie Wilson;50 Cent;Keri Hilson;Wale;Wale;Childish Gambino;Jeremih;Prince;Childish Gambino;G-Eazy
20;21.0;30.0;Rick Ross;Gerald Levert;Kanye West;Usher;B.o.B;Waka Flocka Flame;Miguel;Wiz Khalifa;2 Chainz;T-Wayne;Young Thug;XXXTENTACION;NF
21;22.0;29.0;Juelz Santana;Bow Wow;Jazmine Sullivan;Ludacris;Kid Cudi;T.I.;B.o.B;The Weeknd;Aloe Blacc;Rich Homie Quan;Yo Gotti;SZA;Lil Uzi Vert
22;23.0;28.0;Eminem;Snoop Dogg;Jennifer Hudson;Chrisette Michele;Maxwell;Rick Ross;Eminem;Wanz;Rick Ross;A$AP Rocky;Kent Jones;Cardi B;Lil Pump
23;24.0;27.0;The Notorious B.I.G.;Lil Wayne;JAY-Z;Whitney Houston;Melanie Fiona;Big Sean;Frank Ocean;Ciara;R. Kelly;Usher;Jeezy;French Montana;Chris Brown
24;25.0;26.0;Justin Timberlake;Unk;Marvin Sapp;Pleasure P;Chris Brown;Marsha Ambrosius;Future;Big Sean;T.I.;Flo Rida;Lil Uzi Vert;Chris Brown;Logic
25;26.0;25.0;Young Jeezy;Fabolous;Snoop Dogg;Soulja Boy Tell'em;Beyonce;Kelly Rowland;Kendrick Lamar;Juicy J;Rihanna;Kanye West;D.R.A.M.;Calvin Harris;SZA
26;27.0;24.0;Nelly;J. Holiday;Robin Thicke;Eminem;Fantasia;The Black Eyed Peas;Whitney Houston;Beyonce;August Alsina;Wale;Rae Sremmurd;Playboi Carti;Kodak Black
27;28.0;23.0;Three 6 Mafia;Pretty Ricky;Shawty Lo;Jeremih;R. Kelly;Jamie Foxx;Amy Winehouse;Emeli Sande;Future;Ne-Yo;Wiz Khalifa;Bryson Tiller;21 Savage
28;29.0;22.0;T-Pain;The Game;Ashanti;Rick Ross;Snoop Dogg;Nelly;Anthony Hamilton;Tamar Braxton;Macklemore & Ryan Lewis;Natalie La Rose;Lil Yachty;JAY-Z;Rich The Kid
29;30.0;21.0;Juvenile;Omarion;Soulja Boy Tell'em;Fabolous;Marvin Sapp;DJ Khaled;Meek Mill;Ray Dalton;Robin Thicke;D'Angelo;Post Malone;2 Chainz;Kanye West
30;31.0;20.0;Janet Jackson;Ludacris;Webbie;Ginuwine;Erykah Badu;Diddy - Dirty Money;Tyrese;Frank Ocean;Bobby Shmurda;Kid Ink;ScHoolboy Q;A Boogie Wit da Hoodie;Lil Skies
31;32.0;19.0;Avant;Plies;Beyonce;John Legend;Timbaland;Jeremih;Mac Miller;French Montana;Young Thug;DeJ Loaf;J. Cole;Chance The Rapper;Childish Gambino
32;33.0;18.0;Rihanna;John Legend;Lyfe Jennings;Mary Mary;Kem;Kirk Franklin;Snoop Dogg;Tyga;Jeremih;Tyga;Nicki Minaj;Russ;The Carters
33;34.0;17.0;Kanye West;Yung Joc;The Game;Gucci Mane;Mariah Carey;Jennifer Hudson;R. Kelly;Sage The Gemini;Jeezy;The Game;2 Chainz;blackbear;BlocBoy JB
34;35.0;16.0;India.Arie;Rich Boy;Erykah Badu;Mariah Carey;Corinne Bailey Rae;J. Cole;T-Pain;Keyshia Cole;Ty Dolla $ign;Justin Timberlake;Usher;Eminem;Offset
35;36.0;15.0;The Isley Brothers;Rihanna;Lupe Fiasco;K'Jon;The Roots;Ne-Yo;Michael Jackson;Kelly Rowland;B.o.B;Tyrese;Gucci Mane;Meek Mill;Metro Boomin
36;37.0;14.0;Jaheim;Jim Jones;Birdman;Mario;Birdman;Jill Scott;Nas;Pharrell Williams;Rae Sremmurd;n.a.;Kirk Franklin;KYLE;JAY-Z
37;38.0;13.0;E-40;Nas;Yung Berg;Jadakiss;The-Dream;Charlie Wilson;Robin Thicke;Chief Keef;Yo Gotti;K. Michelle;Ty Dolla $ign;Nicki Minaj;Trippie Redd
38;39.0;12.0;Young Dro;Mims;Flo Rida;Rihanna;BeBe & CeCe Winans;Mariah Carey;DJ Khaled;Mariah Carey;Mary J. Blige;Janet Jackson;Maxwell;Quavo;Future
39;40.0;11.0;Alicia Keys;Soulja Boy Tell'em;Eric Benet;The Black Eyed Peas;Plies;Kid Cudi;Ca$h Out;B.o.B;Snoop Dogg;iLoveMemphis;Rick Ross;Yo Gotti;Gucci Mane
40;41.0;10.0;The Black Eyed Peas;Joe;Jill Scott;Avant;Whitney Houston;Wale;Kirko Bangz;Fantasia;Tinashe;Jidenna;PARTYNEXTDOOR;Beyonce;YG
41;42.0;9.0;John Legend;Jill Scott;John Legend;Young Jeezy;Big Boi;Kem;Melanie Fiona;Rick Ross;Kanye West;n.a.;The Game;Ayo & Teo;Gunna
42;43.0;8.0;Ray J;Lil' Boosie;David Banner;Young Money;Janet Jackson;Sade;Waka Flocka Flame;Trinidad James;Rich Homie Quan;O.T. Genasis;Chance The Rapper;Metro Boomin;Famous Dex
43;44.0;7.0;Purple Ribbon All-Stars;Brian McKnight;DJ Khaled;Bobby V;Waka Flocka Flame;50 Cent;Monica;Ace Hood;Kendrick Lamar;Travis Scott;French Montana;Zay Hilfigerrr & Zayion McCall;Beyonce
44;45.0;6.0;Trey Songz;Tyrese;Rocko;Akon;Raheem DeVaughn;T-Pain;Brandy;The Game;Lil Wayne;Miguel;Macklemore & Ryan Lewis;Young Thug;Ty Dolla $ign
45;46.0;5.0;Cherish;Tamia;Janet Jackson;Robin Thicke;Toni Braxton;Keyshia Cole;Elle Varner;Rocko;Tamar Braxton;Mary J. Blige;R. Kelly;Machine Gun Kelly;Tyga
46;47.0;4.0;Jagged Edge;Shop Boyz;DAY26;Dorrough;Nicki Minaj;Dr. Dre;Mindless Behavior;Kid Cudi;Young Money;Ludacris;YG;Lil Yachty;Quavo
47;48.0;3.0;Chingy;Diddy;Nas;LeToya;Chrisette Michele;Beastie Boys;Ne-Yo;John Legend;Usher;K Camp;iLoveMemphis;PnB Rock;A$AP Rocky
48;49.0;2.0;D4L;UGK;Joe;India.Arie;T.I.;Snoop Dogg;Childish Gambino;DJ Khaled;Sevyn Streeter;Rick Ross;MadeinTYO;6LACK;H.E.R.
49;50.0;1.0;Cassie;Corinne Bailey Rae;Noel Gourdin;Kid Cudi;Lil' Boosie;Ace Hood;YelaWolf;Rich Homie Quan;Rita Ora;Eminem;Leon Bridges;Lil Pump;DJ Khaled
